Strike,Bid,Ask,IV,Volume,OpenInterest
730,11,13.35, 0.40 ,592,33
720,14.75,16.6, 0.41 ,493,49
710,17.55,20.3, 0.41 ,193,162
700,21.7,24.95, 0.42 ,978,31
690,26.55,29.5, 0.43 ,84,7
500,181.1,185.5, 0.59 ,34,1
490,190.7,195.45, 0.61 ,1,1
480,200.5,205, 0.62 ,4,0
470,210.5,214.85, 0.64 ,1,0
460,220.15,224.8, 0.66 ,3,0
450,230.05,234.8, 0.67 ,7,0
440,240.1,244.45, 0.69 ,2,52
930,0,4, 0.47 ,29,0
920,0,4.35, 0.46 ,79,0
910,0,1.7, 0.45 ,14,0
900,0,1.67, 0.44 ,124,2
890,0,2.7, 0.43 ,16,0
880,0.01,4.5, 0.42 ,43,0
870,0,1.54, 0.41 ,131,0
860,0,0.87, 0.40 ,82,6
850,0.08,1.13, 0.39 ,177,1
840,0.4,1.53, 0.39 ,281,15
830,0.1,1.45, 0.38 ,100,14
820,0.7,1.45, 0.38 ,167,5
810,0.91,2.29, 0.38 ,385,7
800,1.51,2.12, 0.38 ,590,28
790,2.05,3.15, 0.38 ,264,20
780,2.32,4.2, 0.38 ,875,143
770,3.45,5.2, 0.38 ,620,28
760,5.2,7.2, 0.39 ,428,30
750,6.2,8.45, 0.39 ,305,81
740,8.75,10.75, 0.40 ,216,52
680,31.85,34.95, 0.43 ,118,26
670,38.05,40.15, 0.44 ,179,153
660,43.7,46.6, 0.45 ,171,61
650,50.65,53.3, 0.46 ,157,16
640,57.25,60.5, 0.47 ,43,3
630,64.6,68.2, 0.47 ,50,5
620,72.3,76.65, 0.48 ,171,1
610,80.4,84.2, 0.49 ,154,1
600,88.55,91.95, 0.50 ,34,0
590,97.15,100.75, 0.50 ,35,0
580,105.85,109.45, 0.51 ,24,0
570,114.8,118.35, 0.52 ,4,0
560,123.95,127.55, 0.53 ,4,6
550,133,137.5, 0.54 ,7,6
540,142.5,147, 0.55 ,9,0
530,152,156.5, 0.56 ,3,0
520,161.55,166.3, 0.57 ,16,0
510,171.15,175.85, 0.58 ,10,0